,Unnamed: 0,Kontoadministrator,Informasjonskonsulent,Emneadministrator,Førstelinje,Superbrukar,Emneinnsyn
0,Administratorar - legg til/fjern,På,Av,Av,Av,Av,Av
1,Vis Administrer LTI,På,Av,Av,Av,Av,Av
2,Administrer LTI,,,,,,
3,legg til / slett / rediger,,,,,,
4,LTI - legg til,På,Av,Av,Av,Av,Av
5,LTI - rediger,På,Av,Av,Av,Av,Av
6,LTI - slett,På,Av,Av,Av,Av,Av
7,Administrer emne,På,Av,Delvis skrudd på Administrer emne Emneadministrator,Av,Delvis skrudd på Administrer emne Superbrukar,Av
8,Emne - administrer/oppdater,På,Av,Av,Av,På,Av
9,Emne - legg til,På,Av,Av,Av,På,Av
10,Emne - fullfør,På,Av,Av,Av,På,Av
11,Emne - publiser,På,Av,På,Av,På,Av
12,Emne - rette opp igjen,På,Av,På,Av,På,Av
13,Emne - slett,På,Av,Av,Av,Av,Av
14,Administrer emnefiler,På,Av,På,Av,På,På
15,Emnefiler - legg til,På,Av,På,Av,På,På
16,Emnefiler - rediger,På,Av,På,Av,På,På
17,Emnefiler - slett,På,Av,På,Av,På,På
18,Administrer emneinnhald,På,Av,På,Av,På,På
19,Emneinnhald - legg til,På,Av,På,Av,På,På
20,Emneinnhald - rediger,På,Av,På,Av,På,På
21,Emneinnhald - slett,På,Av,På,Av,På,På
22,Administrer emnemalar,På,Av,Av,Av,På,Av
23,Emnemalar - lag,På,Av,Av,Av,På,Av
24,Emnemalar - rediger,På,Av,Av,Av,På,Av
25,Emnemalar - slett,På,Av,Av,Av,På,Av
26,Administrer emneseksjonar,På,Av,På,Av,På,Av
27,Emneseksjonar - legg til,På,Av,På,Av,På,Av
28,Emneseksjonar - rediger,På,Av,På,Av,På,Av
29,Emneseksjonar - slett,På,Av,På,Av,På,Av
30,Administrer grupper,På,Av,På,Av,På,På
31,Grupper - administrer,På,Av,På,Av,På,På
32,Grupper - legg til,På,Av,På,Av,På,På
33,Grupper - slett,På,Av,På,Av,På,På
34,Administrer kontokalendrar,På,Av,Av,Av,Av,Av
35,Kontokalendrar - endre synlegheit,På,Av,Av,Av,Av,Av
36,Kontokalendrar - legg til / endre / slett hendingar,På,Av,Av,Av,Av,Av
37,Administrer oppgåver og quizzar,På,Av,På,Av,På,På
38,Oppgåver og quizar - legg til,På,Av,På,Av,På,På
39,Oppgåver og quizar - rediger,På,Av,På,Av,På,På
40,Oppgåver og quizar - slett,På,Av,På,Av,På,På
41,Administrer sider,På,Av,På,Av,På,På
42,Sider - Oppdater,På,Av,På,Av,På,På
43,Sider - Opprett,På,Av,På,Av,På,På
44,Sider - Slett,På,Av,På,Av,På,På
45,Analyse - vis sider,På,Av,På,Av,På,Av
46,Analyse-hub,På,Av,Av,Av,Av,Av
47,Analytics for administratorar - sjå og eksporter data,På,Av,På,Av,På,Av
48,Blueprint-emne - legg til / endre / tilknytt / slett,På,Av,Av,Av,På,Av
49,Brukarar - Designarar,På,Av,På,Av,På,Av
50,Designarar - fjern,På,Av,På,Av,På,Av
51,Designarar - legg til,På,Av,På,Av,På,Av
52,Brukarar - Faglærarar,På,Av,På,Av,På,Av
53,Faglærarar - fjern,På,Av,På,Av,På,Av
54,Faglærarar - legg til,På,Av,På,Av,På,Av
55,Brukarar - Observatørar,På,Av,På,Av,På,Av
56,Observatørar - fjern,På,Av,På,Av,På,Av
57,Observatørar - legg til,På,Av,På,Av,På,Av
58,Brukarar - Studentar,På,Av,På,Av,På,Av
59,Studentar - Fjern,På,Av,På,Av,På,Av
60,Studentar - legg til,På,Av,På,Av,På,Av
61,Brukarar - Undervisningsassistentar,På,Av,På,Av,På,Av
62,Undervisningsassistentar - Fjern,På,Av,På,Av,På,Av
63,Undervisningsassistentar - Legg til,På,Av,På,Av,På,Av
64,Brukarar - administrer innloggingsdetaljar,På,Av,Av,Av,På,Av
65,Brukarar - endre innhald,På,Av,Av,Av,Av,Av
66,Brukarar - generer paringskodar for å koble observatørar til studentar,På,Av,På,Av,På,Av
