;Kontoadministrator;Informasjonskonsulent;Emneadministrator;Førstelinje;Superbrukar;Emneinnsyn
Administratorar - legg til/fjern;Slått på og låst Administratorar - legg til/fjern Kontoadministrator;Deaktivert Administratorar - legg til/fjern Informasjonskonsulent;Deaktivert Administratorar - legg til/fjern Emneadministrator;Deaktivert Administratorar - legg til/fjern Førstelinje;Deaktivert Administratorar - legg til/fjern Superbrukar;Deaktivert Administratorar - legg til/fjern Emneinnsyn
Vis Administrer LTI;Slått på Administrer LTI Kontoadministrator;Deaktivert Administrer LTI Informasjonskonsulent;Deaktivert Administrer LTI Emneadministrator;Deaktivert Administrer LTI Førstelinje;Deaktivert Administrer LTI Superbrukar;Deaktivert Administrer LTI Emneinnsyn
Administrer LTI;;;;;;
legg til / slett / rediger;;;;;;
LTI - legg til;Slått på LTI - legg til;Deaktivert LTI - legg til;Deaktivert LTI - legg til;Deaktivert LTI - legg til;Deaktivert LTI - legg til;Deaktivert LTI - legg til
LTI - rediger;Slått på LTI - rediger;Deaktivert LTI - rediger;Deaktivert LTI - rediger;Deaktivert LTI - rediger;Deaktivert LTI - rediger;Deaktivert LTI - rediger
LTI - slett;Slått på LTI - slett;Deaktivert LTI - slett;Deaktivert LTI - slett;Deaktivert LTI - slett;Deaktivert LTI - slett;Deaktivert LTI - slett
Administrer emne;Slått på Administrer emne Kontoadministrator;Deaktivert Administrer emne Informasjonskonsulent;Delvis skrudd på Administrer emne Emneadministrator;Deaktivert Administrer emne Førstelinje;Delvis skrudd på Administrer emne Superbrukar;Deaktivert Administrer emne Emneinnsyn
Emne - administrer/oppdater;Slått på Emne - administrer/oppdater;Deaktivert Emne - administrer/oppdater;Deaktivert Emne - administrer/oppdater;Deaktivert Emne - administrer/oppdater;Slått på Emne - administrer/oppdater;Deaktivert Emne - administrer/oppdater
Emne - legg til;Slått på Emne - legg til;Deaktivert Emne - legg til;Deaktivert Emne - legg til;Deaktivert Emne - legg til;Slått på Emne - legg til;Deaktivert Emne - legg til
Emne - fullfør;Slått på Emne - fullfør;Deaktivert Emne - fullfør;Deaktivert Emne - fullfør;Deaktivert Emne - fullfør;Slått på Emne - fullfør;Deaktivert Emne - fullfør
Emne - publiser;Slått på Emne - publiser;Deaktivert Emne - publiser;Slått på Emne - publiser;Deaktivert Emne - publiser;Slått på Emne - publiser;Deaktivert Emne - publiser
