course_id,short_name,long_name,account_id,term_id,status,start_date,end_date,blueprint_course_id
ST_0203100000,FHS,FHS,ST_0203000000,,active,,,
ST_0203200000,FTMS,FTMS,ST_0203000000,,active,,,
ST_0203300000,FLKI,FLKI,ST_0203000000,,active,,,
UE_203_ABLUPR201_1_2024_HØST_1,ABLUPR201-1 24H,ABLUPR201-1 24H Praksis 2. år ABLU,ST_0203300000,2024_HØST-2025_VÅR,active,,,
UE_203_ABLUPR201_1_2025_HØST_1,ABLUPR201-1 25H,ABLUPR201-1 25H Praksis 2. år ABLU,ST_0203300000,2025_HØST-2026_VÅR,active,,,
UE_203_ABLUPR201_1_2025_VÅR_1,ABLUPR201-1 25V,ABLUPR201-1 25V Praksis 2. år ABLU,ST_0203300000,2025_VÅR,active,,,
UE_203_ABLUPR301_1_2025_HØST_1,ABLUPR301-1 25H,ABLUPR301-1 25H Praksis 3. år ABLU,ST_0203300000,2025_HØST-2026_VÅR,active,,,
UE_203_ABLUPR401_1_2025_VÅR_1,ABLUPR401-1 25V,ABLUPR401-1 25V Praksis 4. år - ABLU,ST_0203300000,2025_VÅR,active,,,
UE_203_ADA501_1_2024_HØST_1,ADA501-1 24H,ADA501-1 24H Matematisk modellering og simulering,ST_0203201000,2024_HØST,active,,,
UE_203_ADA501_1_2025_HØST_1,ADA501-1 25H,ADA501-1 25H Matematisk modellering og simulering,ST_0203201000,2025_HØST,active,,,
UE_203_ADA502_1_2025_VÅR_1,ADA502-1 25V,ADA502-1 25V Cloud computing og programvaresystemer,ST_0203201000,2025_VÅR,active,,,
UE_203_ADA502_1_2026_VÅR_1,ADA502-1 26V,ADA502-1 26V Cloud computing og programvaresystemer,ST_0203201000,2026_VÅR,active,,,
UE_203_ADA504_1_2025_VÅR_1,ADA504-1 25V,ADA504-1 25V Forskning innen anvendt datateknologi og ingeniørvitenskaper,ST_0203201000,2025_VÅR,active,,,
UE_203_ADA504_1_2026_VÅR_1,ADA504-1 26V,ADA504-1 26V Forskning innen anvendt datateknologi og ingeniørvitenskaper,ST_0203201000,2026_VÅR,active,,,
UE_203_ADA511_1_2024_HØST_1,ADA511-1 24H,ADA511-1 24H Datavitenskap og KI-prototyping,ST_0203201000,2024_HØST,active,,,
UE_203_ADA511_1_2025_HØST_1,ADA511-1 25H,ADA511-1 25H Datavitenskap og KI-prototyping,ST_0203201000,2025_HØST,active,,,
UE_203_ADA512_1_2024_HØST_1,ADA512-1 24H,ADA512-1 24H Cyberfysiske system og IoT,ST_0203201000,2024_HØST,active,,,
UE_203_ADA512_1_2025_HØST_1,ADA512-1 25H,ADA512-1 25H Cyberfysiske system og IoT,ST_0203201000,2025_HØST,active,,,
UE_203_ADA521_1_2024_HØST_1,ADA521-1 24H,ADA521-1 24H Praksis i arbeidslivet,ST_0203201000,2024_HØST,active,,,
UE_203_ADA521_1_2025_HØST_1,ADA521-1 25H,ADA521-1 25H Praksis i arbeidslivet,ST_0203201000,2025_HØST,active,,,
UE_203_ADA521_1_2025_VÅR_1,ADA521-1 25V,ADA521-1 25V Praksis i arbeidslivet,ST_0203201000,2025_VÅR,active,,,
UE_203_ADA521_1_2026_VÅR_1,ADA521-1 26V,ADA521-1 26V Praksis i arbeidslivet,ST_0203201000,2026_VÅR,active,,,
UE_203_ADA522_1_2024_HØST_1,ADA522-1 24H,ADA522-1 24H Praksis i arbeidslivet,ST_0203201000,2024_HØST,active,,,
UE_203_ADA522_1_2025_HØST_1,ADA522-1 25H,ADA522-1 25H Praksis i arbeidslivet,ST_0203201000,2025_HØST,active,,,
UE_203_ADA522_1_2025_VÅR_1,ADA522-1 25V,ADA522-1 25V Praksis i arbeidslivet,ST_0203201000,2025_VÅR,active,,,
UE_203_ADA522_1_2026_VÅR_1,ADA522-1 26V,ADA522-1 26V Praksis i arbeidslivet,ST_0203201000,2026_VÅR,active,,,
UE_203_ADA523_1_2024_HØST_1,ADA523-1 24H,ADA523-1 24H Utvalgte emner i anvendt datateknologi og ingeniørvitenskap,ST_0203201000,2024_HØST,active,,,
UE_203_ADA523_1_2025_HØST_1,ADA523-1 25H,ADA523-1 25H Utvalgte emner i anvendt datateknologi og ingeniørvitenskap,ST_0203201000,2025_HØST,active,,,
UE_203_ADA523_1_2025_VÅR_1,ADA523-1 25V,ADA523-1 25V Utvalgte emner i anvendt datateknologi og ingeniørvitenskap,ST_0203201000,2025_VÅR,active,,,
