section_id,course_id,name,status,start_date,end_date,account_id
ST_0203100000,ST_0203100000,FHS,active,,,
ST_0203200000,ST_0203200000,FTMS,active,,,
ST_0203300000,ST_0203300000,FLKI,active,,,
UE_203_ABLUPR201_1_2024_HØST_1,UE_203_ABLUPR201_1_2024_HØST_1,ABLUPR201-1 24H,active,,,
UE_203_ABLUPR201_1_2025_HØST_1,UE_203_ABLUPR201_1_2025_HØST_1,ABLUPR201-1 25H,active,,,
UE_203_ABLUPR201_1_2025_VÅR_1,UE_203_ABLUPR201_1_2025_VÅR_1,ABLUPR201-1 25V,active,,,
UE_203_ABLUPR301_1_2025_HØST_1,UE_203_ABLUPR301_1_2025_HØST_1,ABLUPR301-1 25H,active,,,
UE_203_ABLUPR401_1_2025_VÅR_1,UE_203_ABLUPR401_1_2025_VÅR_1,ABLUPR401-1 25V,active,,,
UE_203_ADA501_1_2024_HØST_1,UE_203_ADA501_1_2024_HØST_1,ADA501-1 24H,active,,,
UE_203_ADA501_1_2025_HØST_1,UE_203_ADA501_1_2025_HØST_1,ADA501-1 25H,active,,,
UE_203_ADA502_1_2025_VÅR_1,UE_203_ADA502_1_2025_VÅR_1,ADA502-1 25V,active,,,
UE_203_ADA502_1_2026_VÅR_1,UE_203_ADA502_1_2026_VÅR_1,ADA502-1 26V,active,,,
UE_203_ADA504_1_2025_VÅR_1,UE_203_ADA504_1_2025_VÅR_1,ADA504-1 25V,active,,,
UE_203_ADA504_1_2026_VÅR_1,UE_203_ADA504_1_2026_VÅR_1,ADA504-1 26V,active,,,
UE_203_ADA511_1_2024_HØST_1,UE_203_ADA511_1_2024_HØST_1,ADA511-1 24H,active,,,
UE_203_ADA511_1_2025_HØST_1,UE_203_ADA511_1_2025_HØST_1,ADA511-1 25H,active,,,
UE_203_ADA512_1_2024_HØST_1,UE_203_ADA512_1_2024_HØST_1,ADA512-1 24H,active,,,
UE_203_ADA512_1_2025_HØST_1,UE_203_ADA512_1_2025_HØST_1,ADA512-1 25H,active,,,
UE_203_ADA521_1_2024_HØST_1,UE_203_ADA521_1_2024_HØST_1,ADA521-1 24H,active,,,
UE_203_ADA521_1_2025_HØST_1,UE_203_ADA521_1_2025_HØST_1,ADA521-1 25H,active,,,
UE_203_ADA521_1_2025_VÅR_1,UE_203_ADA521_1_2025_VÅR_1,ADA521-1 25V,active,,,
UE_203_ADA521_1_2026_VÅR_1,UE_203_ADA521_1_2026_VÅR_1,ADA521-1 26V,active,,,
UE_203_ADA522_1_2024_HØST_1,UE_203_ADA522_1_2024_HØST_1,ADA522-1 24H,active,,,
UE_203_ADA522_1_2025_HØST_1,UE_203_ADA522_1_2025_HØST_1,ADA522-1 25H,active,,,
UE_203_ADA522_1_2025_VÅR_1,UE_203_ADA522_1_2025_VÅR_1,ADA522-1 25V,active,,,
UE_203_ADA522_1_2026_VÅR_1,UE_203_ADA522_1_2026_VÅR_1,ADA522-1 26V,active,,,
UE_203_ADA523_1_2024_HØST_1,UE_203_ADA523_1_2024_HØST_1,ADA523-1 24H,active,,,
UE_203_ADA523_1_2025_HØST_1,UE_203_ADA523_1_2025_HØST_1,ADA523-1 25H,active,,,
UE_203_ADA523_1_2025_VÅR_1,UE_203_ADA523_1_2025_VÅR_1,ADA523-1 25V,active,,,
UE_203_ADA523_1_2026_VÅR_1,UE_203_ADA523_1_2026_VÅR_1,ADA523-1 26V,active,,,
UE_203_ADA524_1_2024_HØST_1,UE_203_ADA524_1_2024_HØST_1,ADA524-1 24H,active,,,
UE_203_ADA524_1_2025_HØST_1,UE_203_ADA524_1_2025_HØST_1,ADA524-1 25H,active,,,
UE_203_ADA524_1_2025_VÅR_1,UE_203_ADA524_1_2025_VÅR_1,ADA524-1 25V,active,,,
UE_203_ADA524_1_2026_VÅR_1,UE_203_ADA524_1_2026_VÅR_1,ADA524-1 26V,active,,,
UE_203_ADA525_1_2024_HØST_1,UE_203_ADA525_1_2024_HØST_1,ADA525-1 24H,active,,,
UE_203_ADA525_1_2025_HØST_1,UE_203_ADA525_1_2025_HØST_1,ADA525-1 25H,active,,,
UE_203_ADA526_1_2024_HØST_1,UE_203_ADA526_1_2024_HØST_1,ADA526-1 24H,active,,,
UE_203_ADA526_1_2025_HØST_1,UE_203_ADA526_1_2025_HØST_1,ADA526-1 25H,active,,,
UE_203_ADA527_1_2025_VÅR_1,UE_203_ADA527_1_2025_VÅR_1,ADA527-1 25V,active,,,
UE_203_ADA527_1_2026_VÅR_1,UE_203_ADA527_1_2026_VÅR_1,ADA527-1 26V,active,,,
UE_203_ADA528_1_2025_VÅR_1,UE_203_ADA528_1_2025_VÅR_1,ADA528-1 25V,active,,,
UE_203_ADA528_1_2026_VÅR_1,UE_203_ADA528_1_2026_VÅR_1,ADA528-1 26V,active,,,
UE_203_ADA529_1_2025_VÅR_1,UE_203_ADA529_1_2025_VÅR_1,ADA529-1 25V,active,,,
UE_203_ADA529_1_2026_VÅR_1,UE_203_ADA529_1_2026_VÅR_1,ADA529-1 26V,active,,,
UE_203_ADA595_1_2025_VÅR_1,UE_203_ADA595_1_2025_VÅR_1,ADA595-1 25V,active,,,
UE_203_ADA595_1_2026_VÅR_1,UE_203_ADA595_1_2026_VÅR_1,ADA595-1 26V,active,,,
UE_203_ADA599_1_2024_HØST_1,UE_203_ADA599_1_2024_HØST_1,ADA599-1 24H,active,,,
UE_203_ADA599_1_2025_HØST_1,UE_203_ADA599_1_2025_HØST_1,ADA599-1 25H,active,,,
UE_203_ANEP513_1_2025_VÅR_1,UE_203_ANEP513_1_2025_VÅR_1,ANEP513-1 25V,active,,,
UE_203_ANEP513_1_2026_VÅR_1,UE_203_ANEP513_1_2026_VÅR_1,ANEP513-1 26V,active,,,
UE_203_ANEP514_1_2024_HØST_1,UE_203_ANEP514_1_2024_HØST_1,ANEP514-1 24H,active,,,
UE_203_ANEP514_1_2025_HØST_1,UE_203_ANEP514_1_2025_HØST_1,ANEP514-1 25H,active,,,
UE_203_ANEP515_1_2024_HØST_1,UE_203_ANEP515_1_2024_HØST_1,ANEP515-1 24H,active,,,
UE_203_ANEP515_1_2025_HØST_1,UE_203_ANEP515_1_2025_HØST_1,ANEP515-1 25H,active,,,
UE_203_ANE510_1_2024_HØST_1,UE_203_ANE510_1_2024_HØST_1,ANE510-1 24H,active,,,
UE_203_ANE510_1_2025_HØST_1,UE_203_ANE510_1_2025_HØST_1,ANE510-1 25H,active,,,
UE_203_ANE511_1_2024_HØST_1,UE_203_ANE511_1_2024_HØST_1,ANE511-1 24H,active,,,
UE_203_ANE511_1_2025_HØST_1,UE_203_ANE511_1_2025_HØST_1,ANE511-1 25H,active,,,
UE_203_ANE512_1_2024_HØST_1,UE_203_ANE512_1_2024_HØST_1,ANE512-1 24H,active,,,
UE_203_ANE512_1_2025_HØST_1,UE_203_ANE512_1_2025_HØST_1,ANE512-1 25H,active,,,
UE_203_ANS800_1_2023_VÅR_1,UE_203_ANS800_1_2023_VÅR_1,ANS800-1 23V,active,,,
UE_203_ANS800_1_2024_HØST_1,UE_203_ANS800_1_2024_HØST_1,ANS800-1 24H,active,,,
UE_203_ANS800_1_2025_HØST_1,UE_203_ANS800_1_2025_HØST_1,ANS800-1 25H,active,,,
UE_203_ANS800_1_2025_VÅR_1,UE_203_ANS800_1_2025_VÅR_1,ANS800-1 25V,active,,,
UE_203_AOE301_1_2024_HØST_1,UE_203_AOE301_1_2024_HØST_1,AOE301-1 24H,active,,,
UE_203_AOE301_1_2025_HØST_1,UE_203_AOE301_1_2025_HØST_1,AOE301-1 25H,active,,,
UE_203_ASP801_1_2024_HØST_1,UE_203_ASP801_1_2024_HØST_1,ASP801-1 24H,active,,,
UE_203_ASP801_1_2025_HØST_1,UE_203_ASP801_1_2025_HØST_1,ASP801-1 25H,active,,,
UE_203_ASP802_1_2025_VÅR_1,UE_203_ASP802_1_2025_VÅR_1,ASP802-1 25V,active,,,
UE_203_ASP802_1_2026_VÅR_1,UE_203_ASP802_1_2026_VÅR_1,ASP802-1 26V,active,,,
UE_203_BACHA401_1_2024_HØST_1,UE_203_BACHA401_1_2024_HØST_1,BACHA401-1 24H,active,,,
UE_203_BACHD401_1_2025_HØST_1,UE_203_BACHD401_1_2025_HØST_1,BACHD401-1 25H,active,,,
UE_203_BAMM1001_1_2026_VÅR_1,UE_203_BAMM1001_1_2026_VÅR_1,BAMM1001-1 26V,active,,,
UE_203_BAMM1002_1_2025_HØST_1,UE_203_BAMM1002_1_2025_HØST_1,BAMM1002-1 25H,active,,,
UE_203_BAMM2001_1_2024_HØST_1,UE_203_BAMM2001_1_2024_HØST_1,BAMM2001-1 24H,active,,,
UE_203_BAMM2002_1_2025_HØST_1,UE_203_BAMM2002_1_2025_HØST_1,BAMM2002-1 25H,active,,,
UE_203_BAMM3001_1_2025_VÅR_1,UE_203_BAMM3001_1_2025_VÅR_1,BAMM3001-1 25V,active,,,
UE_203_BAMM3002_1_2026_VÅR_1,UE_203_BAMM3002_1_2026_VÅR_1,BAMM3002-1 26V,active,,,
UE_203_BAMM3003_1_2024_HØST_1,UE_203_BAMM3003_1_2024_HØST_1,BAMM3003-1 24H,active,,,
UE_203_BAMM3004_1_2024_HØST_1,UE_203_BAMM3004_1_2024_HØST_1,BAMM3004-1 24H,active,,,
UE_203_BAMM4000_1_2024_HØST_1,UE_203_BAMM4000_1_2024_HØST_1,BAMM4000-1 24H,active,,,
UE_203_BARNP1_1_2025_VÅR_1,UE_203_BARNP1_1_2025_VÅR_1,BARNP1-1 25V,active,,,
UE_203_BARNP1_1_2026_VÅR_1,UE_203_BARNP1_1_2026_VÅR_1,BARNP1-1 26V,active,,,
UE_203_BARNP2_1_2025_VÅR_1,UE_203_BARNP2_1_2025_VÅR_1,BARNP2-1 25V,active,,,
UE_203_BARNP2_1_2026_VÅR_1,UE_203_BARNP2_1_2026_VÅR_1,BARNP2-1 26V,active,,,
UE_203_BARNP513_1_2025_VÅR_1,UE_203_BARNP513_1_2025_VÅR_1,BARNP513-1 25V,active,,,
UE_203_BARNP513_1_2026_VÅR_1,UE_203_BARNP513_1_2026_VÅR_1,BARNP513-1 26V,active,,,
UE_203_BARNP514_1_2024_HØST_1,UE_203_BARNP514_1_2024_HØST_1,BARNP514-1 24H,active,,,
UE_203_BARNP515_1_2024_HØST_1,UE_203_BARNP515_1_2024_HØST_1,BARNP515-1 24H,active,,,
UE_203_BARN100_1_2024_HØST_1,UE_203_BARN100_1_2024_HØST_1,BARN100-1 24H,active,,,
UE_203_BARN100_1_2025_HØST_1,UE_203_BARN100_1_2025_HØST_1,BARN100-1 25H,active,,,
